Airline,Year,Passenger Number,YearTotal,MarketSharePct
AIX Connect,2024,6101602.0,161325505.0,3.78
Air Carnival,2016,37085.0,99475258.0,0.04
Air Carnival,2017,38648.0,112453075.0,0.03
Air Costa,2015,730768.0,80753743.0,0.9
Air Costa,2016,686009.0,99475258.0,0.69
Air Costa,2017,84326.0,112453075.0,0.07
Air Deccan,2017,252.0,112453075.0,0.0
Air Deccan,2018,7635.0,138698284.0,0.01
Air Deccan,2020,465.0,62681542.0,0.0
Air Heritage,2019,3393.0,143736256.0,0.0
Air Heritage,2020,1890.0,62681542.0,0.0
Air India,2015,12522753.0,80753743.0,15.51
Air India,2016,13625141.0,99475258.0,13.7
Air India,2017,14200082.0,112453075.0,12.63
Air India,2018,15497575.0,138698284.0,11.17
Air India,2019,16104592.0,143736256.0,11.2
Air India,2020,5828396.0,62681542.0,9.3
Air India,2021,7963898.0,82745079.0,9.62
Air India,2022,10774438.0,123242014.0,8.74
Air India,2023,14274483.0,152040530.0,9.39
Air India,2024,19441183.0,161325505.0,12.05
Air India,2025,26173414.0,167105101.0,15.66
Air India,2026,8604312.0,57496527.0,14.96
Air India Express,2015,161389.0,80753743.0,0.2
Air India Express,2016,112763.0,99475258.0,0.11
Air India Express,2017,99548.0,112453075.0,0.09
Air India Express,2018,200868.0,138698284.0,0.14
Air India Express,2019,182083.0,143736256.0,0.13
Air India Express,2020,58030.0,62681542.0,0.09
Air India Express,2021,20578.0,82745079.0,0.02
Air India Express,2022,11274.0,123242014.0,0.01
Air India Express,2023,479753.0,152040530.0,0.32
Air India Express,2024,7042504.0,161325505.0,4.37
Air India Express,2025,18820084.0,167105101.0,11.26
Air India Express,2026,6407809.0,57496527.0,11.14
Air Odisha,2018,3152.0,138698284.0,0.0
Air Pegasus,2015,118535.0,80753743.0,0.15
Air Pegasus,2016,126969.0,99475258.0,0.13
Air Taxi,2021,404.0,82745079.0,0.0
AirAsia India,2015,1409653.0,80753743.0,1.75
AirAsia India,2016,2379889.0,99475258.0,2.39
AirAsia India,2018,6823534.0,138698284.0,4.92
AirAsia India,2019,9006760.0,143736256.0,6.27
AirAsia India,2020,4387132.0,62681542.0,7.0
AirAsia India,2021,4940157.0,82745079.0,5.97
AirAsia India,2022,7673068.0,123242014.0,6.23
AirAsia India,2023,10893476.0,152040530.0,7.16
Akasa Air,2022,776118.0,123242014.0,0.63
Akasa Air,2023,6229350.0,152040530.0,4.1
Akasa Air,2024,7374382.0,161325505.0,4.57
Akasa Air,2025,8494062.0,167105101.0,5.08
Akasa Air,2026,2984419.0,57496527.0,5.19
Alliance Air,2015,364430.0,80753743.0,0.45
Alliance Air,2016,567604.0,99475258.0,0.57
Alliance Air,2017,1033095.0,112453075.0,0.92
Alliance Air,2018,1611070.0,138698284.0,1.16
Alliance Air,2019,1660724.0,143736256.0,1.16
Alliance Air,2020,792436.0,62681542.0,1.26
Alliance Air,2021,1024115.0,82745079.0,1.24
Alliance Air,2022,1513476.0,123242014.0,1.23
Alliance Air,2023,1641286.0,152040530.0,1.08
Alliance Air,2024,1431638.0,161325505.0,0.89
Alliance Air,2025,730143.0,167105101.0,0.44
Alliance Air,2026,199604.0,57496527.0,0.35
Blue Dart Aviation,2016,0.0,99475258.0,0.0
Blue Dart Aviation,2017,0.0,112453075.0,0.0
Blue Dart Aviation,2018,0.0,138698284.0,0.0
Blue Dart Aviation,2019,0.0,143736256.0,0.0
Blue Dart Aviation,2020,0.0,62681542.0,0.0
Blue Dart Aviation,2021,0.0,82745079.0,0.0
Blue Dart Aviation,2022,0.0,123242014.0,0.0
Blue Dart Aviation,2023,0.0,152040530.0,0.0
Blue Dart Aviation,2024,0.0,161325505.0,0.0
Blue Dart Aviation,2025,0.0,167105101.0,0.0
Blue Dart Aviation,2026,0.0,57496527.0,0.0
Fly91,2024,127178.0,161325505.0,0.08
Fly91,2025,296016.0,167105101.0,0.18
Fly91,2026,129646.0,57496527.0,0.23
Flybig,2021,58518.0,82745079.0,0.07
Flybig,2022,229119.0,123242014.0,0.19
Flybig,2023,210589.0,152040530.0,0.14
Flybig,2024,15488.0,161325505.0,0.01
Flybig,2025,10186.0,167105101.0,0.01
Go First,2015,6929617.0,80753743.0,8.58
Go First,2016,8175473.0,99475258.0,8.22
Go First,2017,10012866.0,112453075.0,8.9
Go First,2018,12463932.0,138698284.0,8.99
Go First,2019,15315025.0,143736256.0,10.65
Go First,2020,5349279.0,62681542.0,8.53
Go First,2021,7383561.0,82745079.0,8.92
Go First,2022,10901770.0,123242014.0,8.85
Go First,2023,3787926.0,152040530.0,2.49
IndiGo,2015,29743558.0,80753743.0,36.83
IndiGo,2016,39263954.0,99475258.0,39.47
IndiGo,2017,46371858.0,112453075.0,41.24
IndiGo,2018,57768264.0,138698284.0,41.65
IndiGo,2019,67907545.0,143736256.0,47.24
IndiGo,2020,32554649.0,62681542.0,51.94
IndiGo,2021,45941329.0,82745079.0,55.52
IndiGo,2022,69093198.0,123242014.0,56.06
IndiGo,2023,91937523.0,152040530.0,60.47
IndiGo,2024,99903855.0,161325505.0,61.93
IndiGo,2025,107032421.0,167105101.0,64.05
IndiGo,2026,36672247.0,57496527.0,63.78
India One Air,2022,1133.0,123242014.0,0.0
India One Air,2023,19541.0,152040530.0,0.01
India One Air,2024,27342.0,161325505.0,0.02
India One Air,2025,33898.0,167105101.0,0.02
India One Air,2026,6601.0,57496527.0,0.01
Jet Airways,2015,15492537.0,80753743.0,19.18
Jet Airways,2016,16227222.0,99475258.0,16.31
Jet Airways,2017,17848500.0,112453075.0,15.87
Jet Airways,2018,19029065.0,138698284.0,13.72
Jet Airways,2019,3227399.0,143736256.0,2.25
JetLite,2015,2665951.0,80753743.0,3.3
JetLite,2016,2685027.0,99475258.0,2.7
JetLite,2017,2763377.0,112453075.0,2.46
JetLite,2018,2323026.0,138698284.0,1.67
JetLite,2019,524794.0,143736256.0,0.37
Pawan Hans,2019,1889.0,143736256.0,0.0
Pawan Hans,2020,1423.0,62681542.0,0.0
Pawan Hans,2021,2223.0,82745079.0,0.0
QuikJet Cargo,2016,0.0,99475258.0,0.0
QuikJet Cargo,2017,0.0,112453075.0,0.0
QuikJet Cargo,2023,0.0,152040530.0,0.0
QuikJet Cargo,2024,0.0,161325505.0,0.0
QuikJet Cargo,2025,0.0,167105101.0,0.0
QuikJet Cargo,2026,0.0,57496527.0,0.0
SpiceJet,2015,9425939.0,80753743.0,11.67
SpiceJet,2016,12675346.0,99475258.0,12.74
SpiceJet,2017,15431876.0,112453075.0,13.72
SpiceJet,2018,17104236.0,138698284.0,12.33
SpiceJet,2019,21534405.0,143736256.0,14.98
SpiceJet,2020,9389967.0,62681542.0,14.98
SpiceJet,2021,8822447.0,82745079.0,10.66
SpiceJet,2022,10671150.0,123242014.0,8.66
SpiceJet,2023,8390024.0,152040530.0,5.52
SpiceJet,2024,6008185.0,161325505.0,3.72
SpiceJet,2025,4674305.0,167105101.0,2.8
SpiceJet,2026,2161109.0,57496527.0,3.76
Star Air,2019,61685.0,143736256.0,0.04
Star Air,2020,90665.0,62681542.0,0.14
Star Air,2021,198262.0,82745079.0,0.24
Star Air,2022,230671.0,123242014.0,0.19
Star Air,2023,329910.0,152040530.0,0.22
Star Air,2024,631391.0,161325505.0,0.39
Star Air,2025,840572.0,167105101.0,0.5
Star Air,2026,330780.0,57496527.0,0.58
TruJet,2015,121890.0,80753743.0,0.15
TruJet,2016,394478.0,99475258.0,0.4
TruJet,2017,481003.0,112453075.0,0.43
TruJet,2018,586390.0,138698284.0,0.42
TruJet,2019,765765.0,143736256.0,0.53
TruJet,2020,376734.0,62681542.0,0.6
TruJet,2021,275147.0,82745079.0,0.33
TruJet,2022,7471.0,123242014.0,0.01
Vistara,2015,1066723.0,80753743.0,1.32
Vistara,2016,2518298.0,99475258.0,2.53
Vistara,2017,4064022.0,112453075.0,3.61
Vistara,2018,5261205.0,138698284.0,3.79
Vistara,2019,7440197.0,143736256.0,5.18
Vistara,2020,3850476.0,62681542.0,6.14
Vistara,2021,6114440.0,82745079.0,7.39
Vistara,2022,11359128.0,123242014.0,9.22
Vistara,2023,13846669.0,152040530.0,9.11
Vistara,2024,13220757.0,161325505.0,8.2
Zoom Air,2017,23622.0,112453075.0,0.02
Zoom Air,2018,18332.0,138698284.0,0.01
